#Title: Galactic center X-ray sources (Muno+, 2009)
#INFO creator=Muno M.P.     First author or institution     
#INFO cites=bibcode:2009ApJS..181..110M     Article or Data origin sources     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/181/110     Dataset landing page     
#---Details of Columns:
#    CXOGC            (A15)   IAU name (HHMMSS.s-DDMMSS) [ucd=meta.id;meta.main]
#    RAJ2000 (deg)    (F9.5)  Right Ascension in degrees (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg)    (F9.5)  Declination in degrees (J2000) [ucd=pos.eq.dec;meta.main]
#    Sflux (ph/cm2/s) (E8.1)  Photon flux 0.5-2.0keV [ucd=phot.flux;em.X-ray]
#    Hflux (ph/cm2/s) (E8.1)  Photon flux 2-8keV [ucd=phot.flux;em.X-ray]
#--------------- --------- --------- -------- --------
#                RAJ2      DEJ2      Sflux (p Hflux (p
#CXOGC           000 (deg) 000 (deg) h/cm2/s) h/cm2/s)
#--------------- --------- --------- -------- --------
174510.9-290320 266.29565 -29.05576  3.7e-09  4.3e-07
174511.0-285941 266.29608 -28.99493  1.1e-08  2.7e-07
174511.0-290403 266.29587 -29.06759  1.6e-08  1.2e-06
174511.1-285851 266.29645 -28.98087  4.2e-08  2.0e-07
174511.1-290037 266.29651 -29.01039 -1.7e-09  3.4e-07
174511.1-290640 266.29639 -29.11121  1.3e-07  3.5e-07
174511.2-290202 266.29684 -29.03462  5.3e-08  3.0e-07
174511.2-290414 266.29675 -29.07062 -8.3e-09  5.4e-07
174511.4-290343 266.29726 -29.06217  3.2e-08  8.4e-08
174511.4-290402 266.29784 -29.06731  2.3e-07  1.9e-07
174511.4-290535 266.29752 -29.09329 -1.2e-08  6.1e-07
174511.5-290236 266.29804 -29.04355  2.4e-07  9.5e-08
174511.6-285642 266.29849 -28.94515  1.7e-07  4.6e-08
174511.6-285915 266.29868 -28.98764  2.2e-08  4.8e-07
174511.6-290034 266.29876 -29.00988 -2.5e-09  1.6e-07
174511.6-290138 266.29855 -29.02735 -2.0e-08  8.3e-07
174511.8-285853 266.29958 -28.98147  3.9e-08  3.1e-07
174511.8-290037 266.29956 -29.01006 -1.0e-08  2.7e-07
174511.8-290107 266.29919 -29.01871 -8.3e-09  4.0e-07
174511.8-290224 266.29955 -29.04017 -6.9e-09  3.8e-07
174511.8-290456 266.29960 -29.08212  5.2e-09  7.2e-07
174511.9-285902 266.30021 -28.98418  4.2e-10  3.1e-07
174511.9-290029 266.29962 -29.00816  2.4e-08  2.7e-07
174512.0-285651 266.30002 -28.94770 -9.0e-09  3.8e-07
174512.0-290133 266.30037 -29.02594 -8.9e-09  5.8e-07
174512.0-290143 266.30023 -29.02867  1.9e-08  3.5e-07
174512.0-290338 266.30002 -29.06058  1.7e-07  6.7e-08
174512.1-290005 266.30060 -29.00139 -2.4e-08  9.4e-07
174512.1-290215 266.30102 -29.03743  1.2e-08  1.9e-07
174512.1-290441 266.30081 -29.07836  1.5e-08  3.3e-07
174512.1-290521 266.30055 -29.08880  3.6e-08  1.2e-07
174512.2-285729 266.30093 -28.95831 -9.0e-09  3.0e-07
174512.2-285902 266.30138 -28.98416  1.9e-08  3.5e-07
174512.2-290027 266.30096 -29.00776  1.8e-08  3.2e-07
174512.2-290112 266.30121 -29.02020  1.5e-09  4.9e-07
174512.2-290245 266.30102 -29.04605 -6.2e-09  2.7e-07
174512.2-290301 266.30112 -29.05038  1.5e-08  3.2e-07
174512.3-285939 266.30159 -28.99426 -1.6e-08  1.9e-07
174512.3-290213 266.30119 -29.03702  1.9e-08  3.2e-07
174512.4-285318 266.30179 -28.88850  1.3e-07  6.0e-07
174512.4-285933 266.30186 -28.99230 -9.4e-09  3.2e-07
174512.4-290016 266.30182 -29.00462 -1.6e-09  1.6e-07
174512.4-290338 266.30227 -29.06053  2.1e-08  2.8e-07
174512.4-290604 266.30199 -29.10123 -4.8e-10  1.4e-06
174512.4-290716 266.30230 -29.12161  7.5e-08  9.1e-07
174512.5-285534 266.30225 -28.92624  6.2e-09  5.8e-07
174512.6-285924 266.30267 -28.99017 -1.3e-08  3.6e-07
174512.7-290430 266.30322 -29.07507 -2.7e-08  5.7e-07
174512.8-285441 266.30360 -28.91155 -7.4e-08  6.3e-07
174512.8-285535 266.30313 -28.92639 -1.6e-08  5.5e-07
174512.8-290035 266.30374 -29.00973 -1.1e-08  1.9e-07
174512.8-290413 266.30360 -29.07034  8.3e-09  4.9e-07
174512.9-285708 266.30450 -28.95247  5.9e-08  5.2e-08
174512.9-285811 266.30417 -28.96991  1.3e-08  6.8e-07
174512.9-285847 266.30383 -28.97975 -1.7e-08  1.5e-06
174513.0-285811 266.30417 -28.96991  4.1e-08  8.5e-07
174513.0-285844 266.30432 -28.97890 -1.6e-09  3.2e-06
174513.0-290229 266.30447 -29.04142 -2.9e-08  1.2e-06
174513.0-290340 266.30420 -29.06133  1.4e-08  3.7e-07
174513.1-290124 266.30467 -29.02343 -3.3e-08  3.2e-07
174513.1-290238 266.30460 -29.04397  8.2e-09  3.9e-07
174513.1-290255 266.30460 -29.04885 -3.0e-08  3.3e-07
174513.1-290414 266.30478 -29.07056  9.2e-09  3.1e-07
174513.2-290314 266.30536 -29.05408  3.1e-09  4.0e-07
174513.3-285548 266.30574 -28.93015  5.5e-08  3.6e-07
174513.4-290010 266.30585 -29.00285  1.2e-07  2.9e-07
174513.5-285836 266.30663 -28.97681 -1.4e-08  3.7e-07
174513.5-290939 266.30658 -29.16086  1.1e-07  9.8e-07
174513.6-290214 266.30667 -29.03738  1.3e-07 -1.3e-07
174513.6-290453 266.30642 -29.08191  5.9e-08  1.6e-07
174513.7-285638 266.30731 -28.94416  9.0e-09  1.6e-06
174513.9-285551 266.30820 -28.93096  7.9e-09  3.8e-07
174513.9-285915 266.30826 -28.98776 -7.3e-10  5.8e-07
174513.9-290233 266.30817 -29.04258  3.6e-09  3.6e-07
174514.0-290358 266.30875 -29.06631  6.2e-10  4.7e-07
174514.1-285426 266.30916 -28.90718 -3.9e-08  2.2e-06
174514.1-285744 266.30906 -28.96240  1.4e-07  1.4e-07
174514.1-285935 266.30908 -28.99331  7.3e-09  4.7e-07
174514.1-290215 266.30946 -29.03742 -5.2e-10  2.2e-07
174514.1-290412 266.30914 -29.07021  4.6e-08  2.1e-07
174514.1-290613 266.30890 -29.10363 -2.4e-08  6.2e-07
174514.2-290010 266.30950 -29.00280 -2.2e-08  3.8e-07
174514.2-290045 266.30924 -29.01255 -2.9e-09  2.7e-07
174514.2-290448 266.30948 -29.08013 -5.5e-08  4.4e-07
174514.3-290027 266.31002 -29.00771 -3.1e-09  5.1e-07
174514.3-290549 266.30997 -29.09715 -3.2e-08  5.9e-07
174514.4-290251 266.31047 -29.04758  9.5e-09  3.5e-07
174514.5-285741 266.31064 -28.96144  1.5e-07  1.8e-07
174514.5-290225 266.31076 -29.04059  2.0e-09  1.2e-07
174514.6-290355 266.31128 -29.06524  6.8e-09  3.0e-07
174514.6-290735 266.31135 -29.12627 -3.4e-08  6.1e-07
174514.7-285621 266.31154 -28.93915 -8.4e-09  4.3e-07
174514.7-285945 266.31128 -28.99612  1.7e-07  8.1e-08
174514.7-290253 266.31179 -29.04829 -7.5e-09  1.8e-07
174514.8-285957 266.31195 -28.99925 -1.7e-08  4.5e-07
174514.8-290424 266.31189 -29.07340  3.3e-08  6.1e-07
174514.8-290516 266.31168 -29.08809  6.6e-08  4.8e-07
174514.9-285643 266.31219 -28.94533 -2.9e-10  8.1e-07
174514.9-290151 266.31216 -29.03092  1.5e-09  1.5e-07
174514.9-290241 266.31223 -29.04495 -5.2e-09  2.5e-07
174514.9-290344 266.31249 -29.06223  1.1e-07  2.2e-07
174515.0-285914 266.31274 -28.98749 -7.6e-09  7.3e-07
174515.0-290344 266.31250 -29.06223  1.1e-07  2.1e-07
174515.0-290349 266.31256 -29.06376  7.3e-08  3.7e-07
174515.0-290723 266.31253 -29.12329 -5.4e-08  4.9e-07
